,smiles,LogP,model
79,CNc1cc(NCCO)c2cc(NC(=O)c3ccc(OC(F)(F)F)cc3)ccc2n1,0.38316,pre
80,CC(C)c1cc(=O)[nH]c(C(C)(C)C)c1CN,0.22545,pre
81,COC1=CC2C3Cc4ccc(OC)c(O)c4C2(CCN3C)CC2=NCC(C)CCC12C3,0.0,pre
82,CCn1cc(C(=O)Nc2cc(Cl)c(C)cc2C)c(N2CCc3cc(OC)c(OC)cc3C2)c(=O)c1=O,0.0,pre
83,CC(=O)c1ccc(NC(=O)CSc2nnc(-c3ccco3)o2)cc1,0.3263,pre
84,COc1ccc(C=CC(=O)c2cc3c(cc2Br)C(c2ccc(O)cc2)OCO3)cc1OC,0.55239,pre
85,CC1(C)N=C(N)N=C(N)N1c1ccc([N+](=O)[O-])c([N+](=O)[O-])c1,0.06885,pre
86,COc1cc(C2c3cc4c(cc3C(Nc3ccc(O)cc3)C3COC(=O)C23)OCO4)cc(OC)c1OC,0.42346,pre
87,Cc1cc2c(c(O)c1-c1c(O)c(C=O)cc3c1C(=O)c1cccc(O)c1C3=O)C=CC(C)(C)O2,0.455092,pre
88,COc1ccc(CN(C)C=C2SC(=S)NC2=O)cc1,0.21163,pre
89,CCN(CC)CCNc1ccc2ncn3c4ccc(O)cc4c(=O)c1c23,0.2898,pre
90,O=c1c2ccccc2nc(C=Cc2ccccc2F)n1-c1ccccc1-c1cccc[n+]1[O-],0.49956,pre
91,O=C(C=Cc1ccccc1)Nc1cccc(Cl)c1,0.39919,pre
92,COC(=O)c1sccc1NC(=O)C1(c2ccc(Cl)cc2)CC1,0.38584,pre
93,O=C1CSc2ccccc2N1CCCNc1ccnc2cc(Cl)ccc12,0.48291,pre
94,COC(=O)c1cccc(CN2CCC(NC(=O)c3cc(Br)ccc3Br)C2)c1,0.40025,pre
95,Cc1ccc(C(CCO)Cn2cncn2)cc1,0.175272,pre
96,CC1(C)CCc2c(c3ccccc3c3nc(-c4ccccc4)[nH]c23)O1,0.54867,pre
97,COc1ccccc1N(CC(=O)NCCSc2ccc(Cl)nc2)S(=O)(=O)C(C)C)c(OC)c1C,0.0,pre
98,CC1Cc2n[nH]c(O)c2C(c2ccc(F)cc2)O1,0.2305,pre
99,CC(C)=CCc1c(O)c(CC(O)CCc2cc(O)cc(O)c2)c(O)cc2c(C(C)Br)cc(=O)oc12,0.0,pre
100,Cc1ccc(-c2ccc(SCC(=O)Nc3ccc4c(c3)OCO4)nn2)cc1,0.391152,pre
101,Cc1c(C(=O)NN=Cc2ccc(Br)cc2)oc2c(Br)cccc12,0.503012,pre
102,CC1=CC(C)(C)Nc2ccc3c(c21)COc1c(F)cccc1-3,0.49925,pre
103,Cn1cc(C(=O)NCc2ccc3c(c2)OCCO3)c(-c2ccc(Cl)cc2Cl)n1,0.40951,pre
104,CCOC(=O)C=CC(CC1CCNC1=O)NC(=O)C(NC(=O)OCc1ccccc1)C(C)C,0.20677,pre
105,COc1cc(C(=O)N2CC3(C)CC2CC(C)(C)C3)ccc1Nc1ncc2ccc(-c3ccccc3)nc2n1,0.64848,pre
106,C=C1C(=O)OC2C=C(C)CCC=C(C)CCC12,0.35508,pre
107,CC1(C)C2CCC1(CS(=O)(=O)N1CCN(c3cc(F)cc(C(F)(F)F)c3)CC1)C(=O)C2,0.36917,pre
108,COc1ccc(C)cc1S(=O)(=O)N(C)CC(C)C,0.228012,pre
109,Cc1ncc2c(n1)C1CNCCC(C2)C1,0.142432,pre
110,COC(=O)C(CC(C)C)NC1CCc2ccccc21,0.28512,pre
111,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,0.52598,pre
112,COc1cccc(-c2ccc3nc(C(=O)C4CC4)sc3c2)c1,0.45646,pre
113,O=C(C1CC1c1ccccc1)N1CCN(c2ccccc2F)CC1,0.3278,pre
114,NC(=O)CC(NC(=O)CNC(=O)C(Cc1ccccc1)NS(=O)(=O)Cc1ccccc1)C(=O)O,-0.07217,pre
115,COc1ccccc1OCCNC1CCCc2c1cnn2-c1ccccc1,0.39269,pre
116,Fc1ccc2c(c1)c1nnc(-c3cccc([N+](=O)[O-])c3)n1c2sc1ccccc12,0.0,pre
117,CNCCNCc1cccc(-c2ccccc2CNC(=N)N)c1,0.164567,pre
118,CCOC(=O)C1(C#N)SC(=N)NC1=O,-0.039035,pre
119,CCCN1C(=O)CCC(c2ccccc2)C1C(=O)NCc1ccc2c(c1)OCO2,0.32163,pre
120,CSc1ccc(NC(C)=O)c(C(=O)c2ccccc2Br)c1,0.43604,pre
121,Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O,-0.019628,pre
122,CC1=CC2=NCC(CC3OC3CC(C)C(C)(C)C2)N(C)C1,0.33013,pre
123,COC1CCC2(CC1)Cc1ccc(C#CC(C)(O)CO)cc1CC2,0.28455,pre
124,NC(=O)C1CCCN1C(=O)C1CCC(C(=O)O)N1C(=O)c1ccccc1NC(=O)c1ccccc1,0.1473,pre
125,COc1ccc(C=CC(=O)c2cc(Br)ccc2O)cc1,0.40594,pre
126,CC(CNCC(O)CC(C(=O)N1CCc2nc(-c3ccc(F)cc3)ccc2C1)NC(=O)OC(C)(C)C)C(=O)NC(C(=O)O)C(C)O,0.15926,pre
127,Cc1cccc(N2CCN(C(=O)CC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)c1,0.514402,pre
128,Cc1cccc(N2C(=O)c3cccnc3C2=O)c1,0.219062,pre
129,O=C(O)CCSc1nnc(CNC(=O)c2ccccc2F)o1,0.17055,pre
130,CSCCC(NC(=O)CNC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)C(N)CS)C(N)=O,-0.29572,pre
131,CN(C)CCNC(=O)CCc1csc(-c2ccccc2F)n1,0.25596,pre
132,COc1ccccc1N1CC(O)(c2cn(C3CCC(C(=O)N(C)C)CC3)c3ccc(Cl)cc23)C1,0.48306,pre
133,O=C(CSc1nnc(NC(=O)Cn2ccsc2=O)s1)Nc1ccc(F)cc1,0.22699,pre
134,COC(=O)C=CCNC(=O)C12CCC(C)(C)CC1C1=CCC3C4(C)Cc5nc(N)sc5CC(=O)C4C3=C1CC1C2)c2cc(Cl)ccc21,0.0,pre
135,O=S(=O)(C1CC1)N1CCC2(COCc3cnc(-n4ccnc4)nc32)C1,0.06282,pre
136,CC(=O)N(c1cc2ccccc2oc1=O)c1cccc(Cl)c1,0.4131,pre
137,CCc1nc2c(ccc3c2c(=O)n(CC2CC2)c(=O)n3Cc2ccccc2)c1C,0.0,pre
138,CCCN1Cc2c(C)nc(N(C)C)nc2C(COCC2CC2)C1,0.258682,pre
139,COc1ccc(C2CCN(C)S(=O)(=O)c3sccc32)cc1F,0.30519,pre
140,CC(C)CCC(=O)NC(=S)Nc1ccc(Br)c(C(=O)O)c1,0.33965,pre
141,CCC1CN2CCC1CC2C(O)c1cc(-c2ccccc2)nc2ccccc12,0.50556,pre
142,Oc1cccc(-c2cc(NCCc3ccccc3)nc(NCc3ccccc3)n2)c1,0.51159,pre
143,CCCOc1ccc2c(c1)ncn2-c1ccccc1CO,0.33066,pre
144,CC1=C(C(=O)Nc2ccccc2C)C(c2cn(-c3ccccc3)nc2-c2cccs2)NC(=O)N1,0.517582,pre
145,O=C(N1CCN(C(=O)CCC(F)(F)F)CC1)Nc1cc(Cl)cc(Cl)c1,0.4012,pre
146,Clc1cc2nc3ccccn3c2c2ncccc12,0.36891,pre
147,COc1cc(C=NNC(=O)C(OCCO)C(C)=NNC(N)=S)cc(OC)c1OC,-0.02509,pre
148,Cc1cccc(NC(=O)N2CCN(C)CC2)c1C,0.208274,pre
149,CNc1cccc(CN2CC3CCCN3CC2C(=O)NCc2cccc(C(F)(F)F)c2)c1,0.37121,pre
150,O=S(=O)(c1ccc(F)cc1)n1cc(C(F)(F)F)cc2C(=O)O)c1,0.0,pre
151,COc1ccc(OC)c(NC(=O)CN2CCC(C)CC2)c1,0.23742,pre
152,O=C1c2ccccc2OC2C3CCC(CCc4ccccc4)N132,0.0,pre
153,COc1cccc(Nc2nn3c(=O)c4ccc[n+](CC)c4nc3s2)c1F,0.25029,pre
154,COc1ccc(NS(=O)(=O)c2ccc(Cl)c([N+](=O)[O-])c2)nc1,0.24526,pre
155,CC1=C(C(N)=O)C(c2ccc(-c3ccc(N4C(=O)CCC(C)C4)cc3)cc2C)CC(C)(C)C1,0.613032,pre
156,Cn1c2c(c3cc(S(=O)(=O)c4ccc5c(ccc6ccccc45)ccc31)C1CCC(C2)N1,0.0,pre
157,O=C(CNCc1ccsc1)N1CCN(c2ccc(Cl)cc2)CC1,0.28399,pre
158,O=C(O)CC(NC(=O)CN1C(=O)C(NS(=O)(=O)c2cccc(Cl)c2Cl)CS(=O)(=O)C1)c1cc(Cl)cc(Cl)c1,0.24938,pre
159,CCOc1ccc(N2CCN(C(=O)Cc3ccc(S(C)(=O)=O)cc3)CC2)cc1,0.23801,pre
160,COc1ccccc1-c1coc2cc3c(c(O)c2c1=O)OC1OC31,0.2964,pre
161,COc1ccc(C2CC(=O)CC(c3ccc(Br)cc3)C23)cc1,0.0,pre
162,CCOCCCn1c(=S)[nH]c2cc(C(=O)NCCCN3CCOCC3)ccc2c1=O,0.193779,pre
163,COC1(C)CCC(C(=C)C)C1O,0.17385,pre
164,CC1CN(Cc2ccc3ccccc3c2)C(c2ccccc2)C(O)C1O,0.37546,pre
165,O=C(O)Cn1nnc(-c2cnc(Nc3ccnc4cc(Cl)ccc34)cc2)n1,0.27649,pre
166,Cc1cnccc1-c1nnc(S)n1-c1cccc2ccccc12,0.407962,pre
167,O=C(Nc1nccs1)c1cc[n+](Cc2cccc(F)c2)cc1,0.28703,pre
168,CCOc1ccc2c(c1)[nH]c1ccccc12,0.37198,pre
169,Cc1nn(-c2ccccc2)c(Oc2ccccc2)c1C=C1SC(=S)N(CCN)C1=O,0.413292,pre
170,COc1cc(-c2coc3cc(O)c(CCC=C(C)C)cc3c2=O)cc(OC)c1OC,0.50902,pre
171,CC(=O)N1CCN(C(=O)c2ccc(Nc3cc(=O)oc4ccccc34)cc2)CC1,0.28409,pre
172,O=C(NC(=Cc1ccccc1OCCBr)C(=O)O)c1ccccc1,0.33158,pre
173,CC(CN)NCc1ccc2c(c1)OCCO2,0.08946,pre
174,COc1ccc(NC(=O)C(=O)c2c[nH]c3ccccc23)cc1,0.29979,pre
175,COC(=O)CC1(C(=O)SCC)SC=C(C(=O)OC)C(C(=O)OC)C(O)O1,0.04534,pre
176,COc1nc(C)nc(Nc2ccc(Cl)cc2)n1,0.258562,pre
177,Cc1ccc2cc(O)cc(OS(=O)(=O)c3ccc(C)cc3)c2n1,0.332494,pre
178,NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(C=C3C(=O)Nc4ccccc43)C(C(=O)[O-])C12)c1csc(-c2ccccc2)n1,0.02596,pre
179,CCN(CC)CCCNc1nc(-c2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)cc(NC)n1,0.66453,pre
180,Cc1cnc(NCCO)c2oc3c(c12)C(=O)c1cccc(O)c1C3=O,0.202142,pre
181,CC(C)(C)C(=O)c1ccc(O)c(O)c1,0.23266,pre
182,Cc1cc(C)c(-c2nc3c([nH]2)COCC3)cc1C(=O)N=C(N)N,0.117984,pre
183,COc1ccc(-n2nc3n(-c4ccccc4)c(=O)c4ccccc4n32)cc1,0.34377,pre
184,CCC(C)NC(=O)c1c(N)n(CC)nc2ccccc12,0.0,pre
185,Cn1cc(S(=O)(=O)NC(=O)NCC(O)CO)cc1C(=O)Nc1cc(C(=O)Nc2nnn[nH]2)c[nH]1,-0.2288,pre
186,CC1CCC(NCCc2ccccc2)CC1Cc1ccccc1,0.48662,pre
187,O=C(NN1CCOCC1)c1c(Br)[nH]c(=O)[nH]c1=O,-0.11973,pre
188,O=C(OCc1cc([N+](=O)[O-])ccc1Cl)c1cn(CCOCCO)c2c(F)cccc2c1=O,0.30681,pre
189,O=C(NCCCc1c(-c2ccccc2)[nH]c2ccccc12)C1CC1,0.42937,pre
190,CCC12CCCN3CCC4(c5ccccc5NC4C1)C23,0.33867,pre
191,CC(C)=CC(C=Cc1ccc2c(c1)CCC2)C(=O)O,0.38555,pre
192,CC(C)CC(N)C(=O)NNC(=O)c1cccc(N)c1,0.04032,pre
193,CCC1CC(C(=O)NC(CCCNC(=N)N)C(=O)O)N(C(=O)C2CC2)C2CC2)C1c1ccccc1,0.0,pre
194,O=C(CN(Cc1ccccc1)C(=O)CNCCOc1ccc(Cl)cc1)C(F)(F)F,0.34686,pre
195,Clc1cccc(C2CCN(c3nnc(-c4ccccn4)c(-c4ccccc4)n3)C2)c1,0.52479,pre
196,COc1ccc(-c2ccc(S(=O)(=O)N(C)c3ccc(C)c(C)c3)cc2)cc1O,0.450974,pre
197,Cc1cc(C)cc(S(C)(=O)=O)c1,0.170694,pre
198,Cn1ncc(NC(=O)c2nc(-c3nn(C)cc3Br)cs2)c1CC(C)(C)O,0.26053,pre
199,CCn1cc(C(=C2CCN(C)CC2)OCCOc2ccc(Cl)cc2)C(=O)OC)c2ccccc21,0.0,pre
200,O=C1CC2(N(CC(Cl)(Cl)Cl)CC2)c2cc(Cl)ccc2N1Cc1ccccc1,0.55481,pre
201,CN(C)CCCN(C(=O)Cn1cnc2ccccc21)C1CCS(=O)(=O)C1,0.10037,pre
202,COc1ccc(-c2ccccc2Oc2ccc(S(=O)(=O)Nc3ncns3)cc2C#N)cc1,0.467848,pre
203,COCCNC(=O)c1cn2ncnc(Nc3cc(N4CCOCC4)cc(NC4CC4)c3)c2c1C,0.256842,pre
204,O=C(Nc1ccc(C(F)(F)F)cc1)NC1CCOc2c(F)cccc2C1,0.43598,pre
205,CCNc1ncnc2c1ncn2C1OC(CO)C(C1Br)O,0.02722,pre
206,Oc1ccc(C=NNc2ccc(Cl)c(Cl)c2)c(O)c1,0.38506,pre
207,Oc1nc2cc(C3CC3)c(N3CCOCC3)cc2[nH]1,0.19825,pre
208,COC(=O)C1=C(Nc2ccccc2)SC2C(=Cc3cc4c(cc3C2=O)C=CC(C)(C)O1)CO4,0.50367,pre
209,Cn1c(=O)n(C)c2cc(S(=O)(=O)Nc3ccccc3)ccc21,0.16778,pre
210,Cc1ccc(N2C(=O)CC(N(O)C(=O)CC(=O)NCc3ccco3)C2=O)c(C)c1,0.145264,pre
211,CCOC(=O)C(Cc1ccccc1)NC(=O)C1=C(O)c2ccccc2S(=O)(=O)N1C,0.18379,pre
212,OCC1CC(F)CN1Cc1cccnc1,0.09863,pre
213,O=C(NCc1cccc(Br)c1)Nc1ccc(Cl)cc1C(=O)c1ccccc1,0.56552,pre
214,FC(F)(F)c1cccc(-c2noc(CN3CCCNCC3)n2)c1,0.25507,pre
215,CC(C)n1oc(=O)c2c1NC1=C(C(=O)CCC1)C2c1ccc(F)c(Br)c1,0.44883,pre
216,CN(c1ccccc1)S(=O)(=O)c1ccc2nc(N)nc(C)c2c1,0.234552,pre
217,Oc1ccc(O)c(Oc2ccc(C=O)cc2)c1,0.27026,pre
218,CC1CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(C)C5CCC43C)C2C1C,0.60603,pre
219,Cc1cc(C#N)cnc1C(=O)NC1CCN(Cc2ccccc2)CC1,0.26561,pre
220,COc1c(Br)cc(Br)c(C=O)c1OC1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3,0.56195,pre
221,c1ccc2[nH]c(-c3ccnc(-c4ccc5nc(OC6CO)ccc5c4)c3)nc2c1,0.0,pre
222,CCC(C)C(NC(=O)C(C)NC(=O)COc1ccc(OC)cc1)C(=O)OC,0.12826,pre
223,CC(c1ccccc1)N1CCC(CC(=O)[O-])c2ccc(C(=O)NCc3cccnc3)cc21,0.32065,pre
224,O=S(=O)(Nc1ccc(O)c(Cl)c1)c1ccc2c(c1)OCCO2,0.26176,pre
225,CCN1CCN(CCCOc2ccn3c(Cc4ccccc4)c(C(C)C)nc3c2)CC1,0.44549,pre
226,CC(=O)OCCC(C)N(C)C,0.08897,pre
227,COc1ccc(Cn2c3c(c4cc(C)ccc4c2=O)C(OC)SC3)cc1,0.425862,pre
228,COc1ccc(C(=O)NN2c3ccccc3CC2C)cc1,0.27912,pre
229,COC(=O)c1ccccc1N1C(=O)N(Cc2ccccc2)c2ccccc2C1c1ccccc1,0.62094,pre
230,CC(C)CCNC(=O)C(C#N)=Cc1cn(Cc2cccc(C(F)(F)F)c2)c2ccccc12,0.577768,pre
231,Cc1ccc(S(=O)(=O)Cn2nnc(-c3ccccc3)n2)cc1,0.207992,pre
232,CCOC(=O)CN(C)Cc1csc(CN(C)Cc2ccccn2)n1,0.2165,pre
233,NCC1OC(OC2C(N)CC(N)C(O)C2O)C(N)C(O)C1O,-0.51156,pre
234,CS(=O)(=O)NCc1cscn1,0.01923,pre
235,O=C1C(N2CCN(c3ccccc3)CC2)CCC1(O)c1ccccc1,0.24279,pre
236,COC(=O)C(CC(C)C)NC(=O)CNS(=O)(=O)c1ccc(Br)cc1,0.14313,pre
237,COc1cc(C2(c3ccc(Cl)cc3)NC(=O)NC2=O)cc(OC)c1,0.24402,pre
238,Cc1cc(Cl)ccc1OCc1nc(-c2cccnc2)no1,0.367242,pre
239,O=C(NCCN1CCOCC1)c1cc(-c2ccc(Cl)cc2)oc1-c1ccc(Cl)cc1,0.49824,pre
240,Cc1cn(-c2ccc3c(=O)oc4ccccc4c3c2)cn1,0.344032,pre
241,C=Cc1ccc(CNc2ncc3c(n2)-c2ccccc2CC3)cc1,0.44973,pre
242,Cc1ccc(S(=O)(=O)Nc2cccc3c2OC(CN(C)Cc2ccc(-c4ccccc4)cc2)C(=O)N3)cc1,0.529432,pre
243,Cc1cn2cc(C(F)(F)F)cc2c(C#Cc2ccccc2)n1,0.406132,pre
244,Cc1cc(S(N)(=O)=O)ccc1NC(=O)CCc1nc(-c2cccs2)no1,0.232522,pre
245,CC1C(=O)N2C(CCC3(C)C(C(=O)NC(C(C)(C)C)C4CC(O)C4SC(N)C4)C(C)C3C12,0.0,pre
246,O=S(=O)(c1ccccc1)c1ccc2c(c1)CCc1nnc(-c3ccc(OCc4ccccc4)cc3)n1CCO2,0.55345,pre
247,C=CCOCCOc1ccc(Nc2nc(NCc3cccnc3)nc(Nc3ccc(OCC)c(OC)c3)n2)cc1,0.53546,pre
248,O=C(C1CC1c1ccccc1)N1CC2CNCC(C2)C1,0.1858,pre
249,O=C(c1ccccc1)c1cn(Cc2ccccc2F)c2ccccc12,0.50597,pre
250,CC(=O)c1c(O)c(C)c(O)c2c1OC1=CC(=O)C(=C(C)Nc3ccc(N(C)C)cc3)C(=O)C12C,0.374672,pre
251,CN1CNS(=O)(=O)c2ccccc21,0.03722,pre
252,CC1CN(C(C)CO)C(=O)Cc2cc(NC(=O)C3CC3)ccc2OC1CN(C)C(=O)Nc1ccc(-c2nccs2)cc1,0.44715,pre
