"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL122278";"";"None";"204.32";"0";"2.78";"55";"C1=C(c2cccs2)CC[N+](C2CC2)=C1";"Ratio";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL732526";"Ratio of Kcat and KM against monoamine oxidase B (MAO-B) from beef liver was calculated; NS = no substrate activity demonstarted";"B";"BAO_0000019";"assay format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1129640";"1";"Scientific Literature";"J Med Chem";"1996";"None";"";""
"CHEMBL23722";"";"None";"251.37";"0";"4.03";"7c";"CN1CC=C(CCc2cccc3ccccc23)CC1";"Ratio";"'='";"3187.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL850385";"Ratio between TN and Km against MAO A";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1127042";"1";"Scientific Literature";"J Med Chem";"1993";"None";"";""
"CHEMBL23722";"";"None";"251.37";"0";"4.03";"7c";"CN1CC=C(CCc2cccc3ccccc23)CC1";"Ratio";"'='";"62.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL850386";"Ratio of turnover number(TN)and Km for MAO B";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1127042";"1";"Scientific Literature";"J Med Chem";"1993";"None";"";""
"CHEMBL538902";"";"None";"187.29";"0";"2.49";"3";"CN1CC=C(Cc2ccccc2)CC1";"Ratio";"'='";"3580.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL732525";"Ratio of Kcat and KM against monoamine oxidase B (MAO-B) from beef liver was calculated";"B";"BAO_0000019";"assay format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1129640";"1";"Scientific Literature";"J Med Chem";"1996";"None";"";""
"CHEMBL276317";"";"None";"133.19";"0";"0.31";"1a";"NCC12C3C4C5C3C1C5C42";"k cat";"'='";"5.0";"min-1";"";"";"";"";"";"";"";"";"0";"CHEMBL732522";"Rate of catalysis was determined against mitochondrial Monoamine oxidase B";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1129988";"1";"Scientific Literature";"J Med Chem";"1997";"None";"";""
"CHEMBL276317";"";"None";"133.19";"0";"0.31";"1a";"NCC12C3C4C5C3C1C5C42";"k cat/Km";"'='";"36.0";"mM-1 min-1";"";"";"";"";"";"";"";"";"0";"CHEMBL857751";"K cat/Km against Monoamine oxidase B";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1129988";"1";"Scientific Literature";"J Med Chem";"1997";"None";"";""
"CHEMBL276317";"";"None";"133.19";"0";"0.31";"1a";"NCC12C3C4C5C3C1C5C42";"Ki";"'='";"170000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL734187";"Inhibition constant was evaluated against mitochondrial Monoamine oxidase B";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1129988";"1";"Scientific Literature";"J Med Chem";"1997";"None";"";""
"CHEMBL276317";"";"None";"133.19";"0";"0.31";"1a";"NCC12C3C4C5C3C1C5C42";"Km";"'='";"140000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL859438";"Michaelis-Menten constant was determined against mitochondrial Monoamine oxidase B";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1129988";"1";"Scientific Literature";"J Med Chem";"1997";"None";"";""
"CHEMBL1794849";"";"None";"364.36";"None";"None";"1a,1f";"O=C1O[C@@H](CO)CN1n1cccc1.O=C1O[C@H](CO)CN1n1cccc1";"Ki";"'='";"2000.0";"nM";"5.70";"";"";"UO_0000065";"15.64";"None";"None";"None";"0";"CHEMBL728381";"Inhibition of bovine brain mitochondrial Monoamine oxidase B (MAO-B) compared to toloxatone";"B";"BAO_0000019";"assay format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1135879";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";""
"CHEMBL101362";"";"None";"187.29";"0";"2.80";"5";"CCN1CC=C(c2ccccc2)CC1";"Km";"'='";"1090000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL734193";"Michaelis-Menten constant was measured against monoamine oxidase B (MAO-B) from beef liver";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1129640";"1";"Scientific Literature";"J Med Chem";"1996";"None";"";""
"CHEMBL3278797";"";"None";"222.24";"0";"0.56";"2b";"COC(=O)[C@H](C)NC(=O)c1ccccc1N";"IC50";"'='";"410000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3586840";"Inhibition of bovine brain mitochondria MAO-B using benzylamine substrate after 60 mins by fluorimetric method";"B";"BAO_0000252";"mitochondrion format";"Bos taurus";"None";"None";"None";"Mitochondria";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL3585336";"1";"Scientific Literature";"Bioorg Med Chem";"2015";"None";"";""
"CHEMBL3585835";"";"None";"396.44";"0";"3.72";"28";"COC(=O)CCCCCN1C(=O)c2ccccc2NC1c1ccc2c(c1)OCO2";"IC50";"'='";"820000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3586840";"Inhibition of bovine brain mitochondria MAO-B using benzylamine substrate after 60 mins by fluorimetric method";"B";"BAO_0000252";"mitochondrion format";"Bos taurus";"None";"None";"None";"Mitochondria";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL3585336";"1";"Scientific Literature";"Bioorg Med Chem";"2015";"None";"";""
"CHEMBL3585836";"";"None";"386.88";"0";"4.64";"29";"COC(=O)CCCCCN1C(=O)c2ccccc2NC1c1ccc(Cl)cc1";"IC50";"'='";"290000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3586840";"Inhibition of bovine brain mitochondria MAO-B using benzylamine substrate after 60 mins by fluorimetric method";"B";"BAO_0000252";"mitochondrion format";"Bos taurus";"None";"None";"None";"Mitochondria";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL3585336";"1";"Scientific Literature";"Bioorg Med Chem";"2015";"None";"";""
"CHEMBL3585833";"";"None";"368.39";"0";"2.94";"26";"COC(=O)CCCN1C(=O)c2ccccc2NC1c1ccc2c(c1)OCO2";"IC50";"'='";"660000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3586840";"Inhibition of bovine brain mitochondria MAO-B using benzylamine substrate after 60 mins by fluorimetric method";"B";"BAO_0000252";"mitochondrion format";"Bos taurus";"None";"None";"None";"Mitochondria";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL3585336";"1";"Scientific Literature";"Bioorg Med Chem";"2015";"None";"";""
"CHEMBL45763";"";"None";"135.21";"0";"1.45";"8";"CNCCc1ccccc1";"k cat";"";"";"";"";"";"Not a substrate";"";"";"";"";"";"0";"CHEMBL857745";"Catalysis activity was calculated for Monoamine oxidase-B from Bovine liver; b=not a substrate";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1127022";"1";"Scientific Literature";"J Med Chem";"1993";"None";"";""
"CHEMBL8706";"CLORGILINE";"-1.0";"272.18";"0";"3.33";"CLG";"C#CCN(C)CCCOc1ccc(Cl)cc1Cl";"Ki";"'='";"58000.0";"nM";"4.24";"";"";"UO_0000065";"15.57";"0.34";"0.91";"33.97";"1";"CHEMBL919868";"Inhibition of bovine brain mitochondria MAOB by fluorometric assay";"B";"BAO_0000252";"mitochondrion format";"Bos taurus";"None";"None";"None";"Mitochondria";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1142236";"1";"Scientific Literature";"J Med Chem";"2007";"None";"";""
"CHEMBL1203214";"";"None";"270.76";"0";"1.27";"17";"CNCC1CC(=O)N(c2ccc(OC)cc2)C1.Cl";"K inact";"'='";"0.0035";"min-1";"";"";"";"";"";"";"";"";"0";"CHEMBL715307";"Kinetic constant for inactivation of MAO B from replot of half-lives of inactivation";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1126900";"1";"Scientific Literature";"J Med Chem";"1993";"None";"";""
"CHEMBL2448178";"";"None";"201.31";"0";"2.89";"4 (S)";"CC=C=CCN(C)CCc1ccccc1";"k2";"'='";"0.13";"min-1";"";"";"";"";"";"";"";"";"0";"CHEMBL729341";"Kinetic parameter for the time dependent inhibition of Bovine liver Monoamine Oxidase B at 25 degrees C (pH= 7.4).";"B";"BAO_0000019";"assay format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1124175";"1";"Scientific Literature";"J Med Chem";"1988";"None";"";""
"CHEMBL2114432";"";"None";"227.35";"0";"3.73";"6 (SS)";"CC=C=CCN(C)[C@H]1CCCc2ccccc21";"Ki";"'='";"150000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL729339";"In vitro inhibition of bovine monoamine oxidase B.";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1124175";"1";"Scientific Literature";"J Med Chem";"1988";"None";"";""
"CHEMBL62153";"";"None";"249.36";"0";"4.07";"23";"CN1CC=C(c2ccccc2-c2ccccc2)CC1";"Km";"'='";"1.7";"";"";"";"";"";"";"";"";"";"0";"CHEMBL733306";"Tested for Km, the substrate concentration with gives half maximum velocity of the monoamine oxidase B catalyzed oxidation.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1130072";"1";"Scientific Literature";"J Med Chem";"1997";"None";"";""
"CHEMBL173247";"";"None";"289.38";"0";"4.59";"22";"CN1CC=C(Oc2cc3ccccc3c3ccccc23)CC1";"TN";"'>'";"200.0";"M min-1 M-1";"";"";"";"";"";"";"";"";"0";"CHEMBL709704";"Turnover number (TN) for bovine mono-amine oxidase B MAO-B";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1127689";"1";"Scientific Literature";"J Med Chem";"1994";"None";"";""
"CHEMBL218323";"";"None";"289.17";"1";"5.05";"3d";"Clc1ccc(-c2cc(-c3ccc(Cl)cc3)[nH]n2)cc1";"IC50";"'='";"6025.6";"nM";"5.22";"";"";"UO_0000065";"18.05";"0.38";"0.17";"18.20";"0";"CHEMBL912582";"Inhibition of MAO-B in bovine brain mitochondria fluorimetric method";"B";"BAO_0000252";"mitochondrion format";"Bos taurus";"CHEMBL3638188";"Brain";"None";"Mitochondria";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1141394";"1";"Scientific Literature";"J Med Chem";"2007";"None";"";""
"CHEMBL3408918";"";"None";"677.76";"2";"5.28";"8b";"O=C(Cn1c(=O)c(Cc2ccccc2)nc2ccccc21)NNC(=O)C(Cc1ccccc1)NC(=O)OCC1c2ccccc2-c2ccccc21";"IC50";"'='";"440000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3413249";"Inhibition of bovine brain MAO-B preincubated for 60 mins before substrate addition by fluorimetric method";"B";"BAO_0000019";"assay format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL3407425";"1";"Scientific Literature";"Eur J Med Chem";"2015";"None";"";""
"CHEMBL277177";"";"None";"223.32";"0";"3.56";"7a";"CN1CC=C(c2cccc3ccccc23)CC1";"Km";"'='";"110000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL715308";"Michaelis-Menten constant against MAO B.";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1127042";"1";"Scientific Literature";"J Med Chem";"1993";"None";"";""
"CHEMBL340338";"";"None";"123.20";"0";"1.43";"29";"C=CC1=CCN(C)CC1";"Ratio";"'='";"2370.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL732525";"Ratio of Kcat and KM against monoamine oxidase B (MAO-B) from beef liver was calculated";"B";"BAO_0000019";"assay format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1129640";"1";"Scientific Literature";"J Med Chem";"1996";"None";"";""
"CHEMBL2372410";"";"None";"661.85";"2";"0.73";"22";"C[C@@H]1NC(=O)[C@@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(C)(C)SSC(C)(C)[C@@H](C(O)O)NC(=O)[C@H](Cc2ccccc2)NC1=O";"Kinact";"'='";"0.05";"min-1";"";"";"";"";"";"";"";"";"0";"CHEMBL734183";"MAO-B Inactivation property expressed as inactivation constant (K inact).";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1125347";"1";"Scientific Literature";"J Med Chem";"1992";"None";"";""
"CHEMBL23582";"";"None";"201.31";"0";"2.88";"5";"CN1CC=C(CCc2ccccc2)CC1";"Km";"'='";"54000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL715308";"Michaelis-Menten constant against MAO B.";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1127042";"1";"Scientific Literature";"J Med Chem";"1993";"None";"";""
"CHEMBL338886";"";"None";"203.28";"0";"2.41";"9";"COc1ccc(C2=CCN(C)CC2)cc1";"Km";"'='";"940000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL734194";"Michaelis-Menten constant was measured against monoamine oxidase B (MAO-B) from beef liver; Inactive";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1129640";"1";"Scientific Literature";"J Med Chem";"1996";"None";"";""
"CHEMBL972";"SELEGILINE";"4.0";"187.29";"0";"2.18";"selegiline";"C#CCN(C)[C@H](C)Cc1ccccc1";"Ki";"'='";"970.0";"nM";"6.01";"";"";"UO_0000065";"32.11";"0.59";"3.83";"185.59";"0";"CHEMBL2183304";"Inhibition of bovine brain MAOB using kinuramine as substrate preincubated for 30 mins prior to substrate addition measured after 30 mins by fluorometric assay";"B";"BAO_0000019";"assay format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL2176872";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";""
"CHEMBL2178437";"";"None";"399.86";"0";"4.20";"7a";"Cc1cc(=O)oc2cc(OCc3nnc(S)n3-c3ccc(Cl)cc3)ccc12";"Ki";"'='";"569.0";"nM";"6.25";"";"";"UO_0000065";"15.62";"0.32";"2.04";"8.90";"0";"CHEMBL2183304";"Inhibition of bovine brain MAOB using kinuramine as substrate preincubated for 30 mins prior to substrate addition measured after 30 mins by fluorometric assay";"B";"BAO_0000019";"assay format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL2176872";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";""
"CHEMBL3350232";"";"None";"215.34";"0";"3.45";"5 (SS)";"CC=C=CCN(C)C[C@H](C)c1ccccc1";"Ki";"'='";"720000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL729339";"In vitro inhibition of bovine monoamine oxidase B.";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1124175";"1";"Scientific Literature";"J Med Chem";"1988";"None";"";""
"CHEMBL2115363";"";"None";"227.35";"0";"3.73";"6 (SR)";"CC=C=CCN(C)[C@@H]1CCCc2ccccc21";"Ki";"'='";"250000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL729339";"In vitro inhibition of bovine monoamine oxidase B.";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1124175";"1";"Scientific Literature";"J Med Chem";"1988";"None";"";""
"CHEMBL2115363";"";"None";"227.35";"0";"3.73";"6 (SR)";"CC=C=CCN(C)[C@@H]1CCCc2ccccc21";"k2";"'='";"0.13";"min-1";"";"";"";"";"";"";"";"";"0";"CHEMBL729341";"Kinetic parameter for the time dependent inhibition of Bovine liver Monoamine Oxidase B at 25 degrees C (pH= 7.4).";"B";"BAO_0000019";"assay format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1124175";"1";"Scientific Literature";"J Med Chem";"1988";"None";"";""
"CHEMBL218073";"";"None";"278.38";"0";"4.87";"16";"Cc1ccccc1/C=N/c1nc(-c2ccccc2)cs1";"Ki";"'='";"501.19";"nM";"6.30";"";"";"UO_0000065";"22.63";"0.43";"1.43";"24.95";"0";"CHEMBL908499";"Inhibition of bovine brain mitochondria MAOB";"B";"BAO_0000252";"mitochondrion format";"Bos taurus";"None";"None";"None";"Mitochondria";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1141379";"1";"Scientific Literature";"J Med Chem";"2007";"None";"";""
"CHEMBL277177";"";"None";"223.32";"0";"3.56";"7a";"CN1CC=C(c2cccc3ccccc23)CC1";"TN";"'='";"55.0";"uM min-1";"";"";"";"";"";"";"";"";"0";"CHEMBL715309";"Turnover number against MAO B (umol of substrate/min per umol of enzyme).";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1127042";"1";"Scientific Literature";"J Med Chem";"1993";"None";"";""
"CHEMBL23487";"";"None";"251.37";"0";"4.03";"8c";"CN1CC=C(CCc2ccc3ccccc3c2)CC1";"TN";"'='";"79.0";"uM min-1";"";"";"";"";"";"";"";"";"0";"CHEMBL715309";"Turnover number against MAO B (umol of substrate/min per umol of enzyme).";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL2756";"Monoamine oxidase B";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1127042";"1";"Scientific Literature";"J Med Chem";"1993";"None";"";""
